ALARM on 4/9/2018 12:37:36 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:38:00 AM - Tag AItag1 value: 0 | Low limit: 5
ALARM on 4/9/2018 12:38:25 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:38:26 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:38:27 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:38:28 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:38:29 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:38:30 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:38:31 AM - Tag AItag1 value: 100 | High limit: 95
ALARM on 4/9/2018 12:38:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:38:33 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:38:34 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:38:35 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:38:36 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:38:37 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:39:01 AM - Tag AItag1 value: 0 | Low limit: 5
ALARM on 4/9/2018 12:39:25 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:39:26 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:39:27 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:39:28 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:39:29 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:39:30 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:39:31 AM - Tag AItag1 value: 100 | High limit: 95
ALARM on 4/9/2018 12:39:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:39:33 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:39:34 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:39:35 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:39:36 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:40:00 AM - Tag AItag1 value: 0 | Low limit: 5
ALARM on 4/9/2018 12:40:25 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:40:26 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:40:27 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:40:28 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:40:29 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:40:30 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:40:31 AM - Tag AItag1 value: 100 | High limit: 95
ALARM on 4/9/2018 12:40:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:40:33 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:40:34 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:40:35 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:40:36 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:41:00 AM - Tag AItag1 value: 0 | Low limit: 5
ALARM on 4/9/2018 12:41:24 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:41:25 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:41:26 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:41:27 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:41:28 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:41:29 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:41:30 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:45:24 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:45:25 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:45:26 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:45:27 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:45:28 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:45:29 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:45:30 AM - Tag AItag1 value: 100 | High limit: 95
ALARM on 4/9/2018 12:45:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:45:33 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:45:34 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:45:35 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:45:36 AM - Tag AItag1 value: 96.5925826289068 | High limit: 95
ALARM on 4/9/2018 12:45:53 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:46:31 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
ALARM on 4/9/2018 12:48:33 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:48:40 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:55:32 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:55:40 AM - Tag AItag1 value: 95.1056516295154 | High limit: 95
ALARM on 4/9/2018 12:59:28 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:59:29 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:59:30 AM - Tag AItag1 value: 100 | High limit: 95
ALARM on 4/9/2018 12:59:31 AM - Tag AItag1 value: 99.8629534754574 | High limit: 95
ALARM on 4/9/2018 12:59:32 AM - Tag AItag1 value: 99.4521895368273 | High limit: 95
ALARM on 4/9/2018 12:59:33 AM - Tag AItag1 value: 98.7688340595138 | High limit: 95
ALARM on 4/9/2018 12:59:34 AM - Tag AItag1 value: 97.8147600733806 | High limit: 95
